signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做空,positive,True,15,30,0.002,50-70%,距Support,far,15,0.003548195459610173,-0.0007247832719425369,4.8955261482517844,0.6666666666666666,0.0,0.003548195459610173,0.0010039093239650647,0.003,0.002,0.002053468261323938,0.5333333333333333,0.0
G-做多,negative,False,15,30,0.001,<30%,距Support,near,31,0.0018584859010632177,-0.00038610556633042367,4.813413903162307,0.4838709677419355,0.16129032258064516,0.0018584859010632177,0.0006132802218952926,0.003,0.002,0.0010604659597830642,0.16129032258064516,0.16129032258064516
G-做多,negative,False,30,30,0.001,<30%,距Support,near,27,0.002046381625217191,-0.0004265759864947418,4.79722649657968,0.5185185185185185,0.037037037037037035,0.002046381625217191,0.0006132802218952926,0.002,0.002,0.0012956950596096362,0.48148148148148145,0.037037037037037035
G-做多,negative,False,15,15,0.002,50-70%,距Support,medium,13,0.001472885251548619,-0.0003132743704448024,4.701582352419522,0.38461538461538464,0.0,0.001472885251548619,0.0007116883194716425,0.003,0.002,0.0009042463820739918,0.0,0.0
G+做空,positive,True,15,30,0.002,30-50%,距Support,medium,40,0.0025847591433965328,-0.0005518879958070926,4.6834849879576135,0.65,0.025,0.0025847591433965328,0.0007544140769519224,0.002,0.002,0.0011860450229217417,0.6,0.025
G+做多,positive,False,15,15,0.001,>100%,距HedgeWall,near,45,0.0015121668857887233,-0.0003252692423614384,4.648969803632423,0.26666666666666666,0.0,0.0015121668857887233,0.000691540641198864,0.0025,0.002,0.0010027905246411347,0.06666666666666667,0.0
G-做多,negative,False,15,15,0.001,<30%,距Support,far,23,0.002219878596127507,-0.0004885324242470416,4.543973922608986,0.5652173913043478,0.0,0.002219878596127507,0.0009114234545697805,0.003,0.002,0.0015433516134180788,0.13043478260869565,0.0
G-做空,negative,True,10,15,0.002,>100%,距HedgeWall,near,10,0.004561081465709764,-0.0010072631742860181,4.528192414999001,1.0,0.1,0.004561081465709764,0.001614524532542959,0.003,0.002,0.0028378488969353563,0.7,0.0
G-做空,negative,True,10,30,0.001,>100%,距HedgeWall,near,23,0.005281907323663212,-0.0011895327091643786,4.440321214347809,0.7391304347826086,0.17391304347826086,0.005281907323663212,0.0018362362031539763,0.003,0.002,0.0018697468541834775,0.6086956521739131,0.13043478260869565
G+做多,positive,False,15,15,0.001,70-100%,距HedgeWall,medium,39,0.0011866209944234498,-0.0002694775708308382,4.4034128360476394,0.15384615384615385,0.0,0.0011866209944234498,0.0008636457180556363,0.003,0.002,0.0007714868451743885,0.05128205128205128,0.0
G-做空,negative,True,15,15,0.001,50-70%,距Support,medium,19,0.0018676160133970772,-0.00043049391703128245,4.338309879675638,0.42105263157894735,0.10526315789473684,0.0018676160133970772,0.0007536133266869717,0.0015,0.002,0.0008076384620869235,0.5263157894736842,0.10526315789473684
G-做多,negative,False,15,15,0.002,<30%,距Support,far,14,0.0022870626299670354,-0.000535199031450473,4.2732936637959495,0.6428571428571429,0.0,0.0022870626299670354,0.0007448700690243144,0.0025,0.002,0.0017483663320020507,0.21428571428571427,0.0
G-做多,negative,False,30,30,0.001,<30%,距Support,far,22,0.0028743340238306103,-0.0006772635974129902,4.244040333497894,0.5454545454545454,0.13636363636363635,0.0028743340238306103,0.0010069285316445015,0.003,0.002,0.001377737320291242,0.5,0.13636363636363635
