signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,10,15,0.002,<30%,★☆☆观望,距HedgeWall,far,10,0.0007252766876053955,-0.0011345247272263775,0.6392779903339008,0.0,0.2,0.0007252766876053955,0.0019379394004617142,0.0015,0.002,-1.2728151906731162e-05,0.3,0.1
G+做多,positive,False,10,15,0.002,30-50%,★☆☆观望,距Support,near,14,0.001617768328090271,-0.0010903729639004257,1.4836834566250376,0.07142857142857142,0.14285714285714285,0.001617768328090271,0.0013619272641715431,0.0015,0.002,0.0006575861447549022,0.42857142857142855,0.14285714285714285
G+做多,positive,False,10,15,0.002,30-50%,★☆☆观望,距HedgeWall,near,7,0.001351975792627576,-0.0013866298897441853,0.9750084017567208,0.0,0.2857142857142857,,,,,,,
G+做多,positive,False,10,15,0.002,30-50%,★☆☆观望,距HedgeWall,medium,8,0.0017730269322917954,-0.0007963686793791944,2.2263895833697913,0.125,0.0,,,,,,,
G+做多,positive,False,10,15,0.002,50-70%,★★☆可选,距Support,near,15,0.000653619619701624,-0.0018628742118467403,0.3508662128365958,0.3333333333333333,0.4,0.000653619619701624,0.0023636035635566433,0.0025,0.002,4.458892626945189e-05,0.26666666666666666,0.26666666666666666
G+做多,positive,False,10,15,0.002,50-70%,★★☆可选,距HedgeWall,near,10,0.00029424075275726795,-0.0020464289393206563,0.14378254094419995,0.2,0.6,0.00029424075275726795,0.0027919755606323968,0.001,0.002,-0.0006456159619829793,0.3,0.3
G+做多,positive,False,10,15,0.002,50-70%,★★☆可选,距HedgeWall,medium,6,0.002657998763437369,-0.0007422312233474843,3.581092629665615,0.6666666666666666,0.0,,,,,,,
G+做多,positive,False,10,15,0.002,70-100%,★★★推荐,距Support,near,19,0.0017893725276934538,-0.0002694775708308382,6.640153843514919,0.42105263157894735,0.21052631578947367,0.0017893725276934538,0.0010314637637283315,0.003,0.004,0.0016100188705549965,0.3157894736842105,0.0
G+做多,positive,False,10,15,0.002,70-100%,★★★推荐,距HedgeWall,near,5,0.006153301862656553,-1.1695478966401409e-05,526.1265383259346,0.8,0.0,,,,,,,
G+做多,positive,False,10,15,0.002,70-100%,★★★推荐,距HedgeWall,medium,10,0.001727605770255399,-0.0003485003446449458,4.957256992142989,0.4,0.0,0.001727605770255399,0.000835966569806961,0.003,0.002,0.0015374158927449978,0.2,0.0
