signal,gamma,is_short,lb,hz,th,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做多,negative,False,5,5,0.0015,距Support,far,104,0.000591773250461464,-0.0008732353202699987,0.6776790135773386,0.09615384615384616,0.14423076923076922
G-做多,negative,False,5,5,0.002,距Support,near,35,0.0008435020536145187,-0.0008292578887630322,1.017177002527807,0.17142857142857143,0.11428571428571428
G-做多,negative,False,5,5,0.002,距Support,medium,72,0.0008567737917204849,-0.0005163043728416343,1.6594354740886197,0.08333333333333333,0.06944444444444445
G-做多,negative,False,5,5,0.002,距Support,far,46,0.0005967272415477164,-0.0009628329891628608,0.6197619402992656,0.06521739130434782,0.21739130434782608
G-做多,negative,False,5,10,0.0005,距Support,near,363,0.0008035632964017779,-0.0007141142582813577,1.1252587202721522,0.16804407713498623,0.13774104683195593
G-做多,negative,False,5,10,0.0005,距Support,medium,576,0.000961110770259155,-0.0007567879666761516,1.2699868557376761,0.1701388888888889,0.16319444444444445
G-做多,negative,False,5,10,0.0005,距Support,far,451,0.0007064291060815757,-0.001033465011116878,0.6835539650424443,0.12195121951219512,0.17073170731707318
G-做多,negative,False,5,10,0.001,距Support,near,164,0.0009525274560688154,-0.000692923473790469,1.3746502927058397,0.21341463414634146,0.17682926829268292
G-做多,negative,False,5,10,0.001,距Support,medium,303,0.0010897790896039151,-0.00073114200485718,1.4905163188056616,0.18811881188118812,0.16831683168316833
G-做多,negative,False,5,10,0.001,距Support,far,230,0.0006801738528763156,-0.0012644897837349577,0.5379037945781323,0.14347826086956522,0.20434782608695654
G-做多,negative,False,5,10,0.0015,距Support,near,77,0.0009486453614849218,-0.001010383074807316,0.9388967265369446,0.24675324675324675,0.23376623376623376
G-做多,negative,False,5,10,0.0015,距Support,medium,144,0.0011530835896363771,-0.0007959030821798466,1.4487738714094087,0.1875,0.16666666666666666
G-做多,negative,False,5,10,0.0015,距Support,far,104,0.000809620276394999,-0.0012862609808270546,0.6294370181970538,0.18269230769230768,0.20192307692307693
G-做多,negative,False,5,10,0.002,距Support,near,35,0.0014735733706797841,-0.0009383553108658542,1.57037888912257,0.34285714285714286,0.2
G-做多,negative,False,5,10,0.002,距Support,medium,72,0.0012109056999588057,-0.0007428097346669302,1.6301694006497718,0.19444444444444445,0.1111111111111111
G-做多,negative,False,5,10,0.002,距Support,far,46,0.0007659380515194908,-0.0015881846159414245,0.4822726802862698,0.13043478260869565,0.21739130434782608
G-做多,negative,False,5,15,0.0005,距Support,near,363,0.0010742952993283061,-0.0008591536151851228,1.250411195786945,0.26170798898071623,0.21487603305785125
G-做多,negative,False,5,15,0.0005,距Support,medium,576,0.0011292057697992117,-0.0009456193615651985,1.1941440876698413,0.2673611111111111,0.24305555555555555
G-做多,negative,False,5,15,0.0005,距Support,far,451,0.0008862584643722423,-0.0012419810261924736,0.7135845441127505,0.20620842572062084,0.24168514412416853
G-做多,negative,False,5,15,0.001,距Support,near,164,0.001359838736050653,-0.0008602843136070399,1.580685262467542,0.3353658536585366,0.24390243902439024
G-做多,negative,False,5,15,0.001,距Support,medium,303,0.0011541525106881615,-0.0009306654257793392,1.2401368727345536,0.2871287128712871,0.24092409240924093
G-做多,negative,False,5,15,0.001,距Support,far,230,0.0008954149627588173,-0.0015137786553609232,0.5915098350658985,0.26521739130434785,0.26521739130434785
G-做多,negative,False,5,15,0.0015,距Support,near,77,0.0013547876422940726,-0.0010451078679353516,1.29631369532267,0.37662337662337664,0.3246753246753247
G-做多,negative,False,5,15,0.0015,距Support,medium,144,0.0011770166649806772,-0.0009360515540120473,1.2574271790221594,0.3055555555555556,0.25
G-做多,negative,False,5,15,0.0015,距Support,far,104,0.0009768322365042157,-0.0015068972287749448,0.648240781024162,0.27884615384615385,0.2403846153846154
G-做多,negative,False,5,15,0.002,距Support,near,35,0.002077606740215679,-0.0010236665141845447,2.029573803017974,0.5428571428571428,0.2857142857142857
G-做多,negative,False,5,15,0.002,距Support,medium,72,0.0013208390978107004,-0.000910229373857143,1.4511057715195215,0.3333333333333333,0.16666666666666666
G-做多,negative,False,5,15,0.002,距Support,far,46,0.0008657678076857006,-0.001651963918957762,0.5240839692382148,0.21739130434782608,0.2391304347826087
G-做多,negative,False,5,30,0.0005,距Support,near,363,0.0017188201112387795,-0.001398709255977403,1.2288616121566212,0.4325068870523416,0.3608815426997245
G-做多,negative,False,5,30,0.0005,距Support,medium,576,0.001544458202976089,-0.0014217215217887606,1.0863296217341532,0.3645833333333333,0.3784722222222222
G-做多,negative,False,5,30,0.0005,距Support,far,451,0.0012326392224618415,-0.001667096204116153,0.7393929752934395,0.29711751662971175,0.38802660753880264
G-做多,negative,False,5,30,0.001,距Support,near,164,0.002004064522488881,-0.0015780045347934544,1.2699992162894473,0.5060975609756098,0.38414634146341464
