signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,10,15,0.002,70-100%,★★★推荐,距Support,near,19,0.0017893725276934538,-0.0002694775708308382,6.640153843514919,0.42105263157894735,0.21052631578947367,0.0017893725276934538,0.0010314637637283315,0.003,0.004,0.0016100188705549965,0.3157894736842105,0.0
G+做多,positive,False,10,15,0.0015,70-100%,★★★推荐,距HedgeWall,medium,13,0.001580990637022143,-0.00023821931065292398,6.636702258473005,0.38461538461538464,0.0,0.001580990637022143,0.0007184107758689851,0.003,0.002,0.001512356847653163,0.15384615384615385,0.0
G-做空,negative,True,10,30,0.002,50-70%,★★☆可选,距HedgeWall,far,17,0.0025839213362779017,-0.0003931099631702464,6.573024289284848,0.7058823529411765,0.29411764705882354,0.0025839213362779017,0.0025839028476207725,0.003,0.0035,0.0014612985420409202,0.35294117647058826,0.058823529411764705
G-做多,negative,False,15,15,0.002,<30%,★☆☆观望,距Support,near,13,0.0016951689951927422,-0.0002589865296713804,6.545394454853259,0.38461538461538464,0.0,0.0016951689951927422,0.0005696998271256357,0.002,0.002,0.0014739403553587953,0.38461538461538464,0.0
G+做多,positive,False,10,30,0.002,>100%,★★★推荐,距Support,near,15,0.004025377763965691,-0.000627115415610581,6.41887866852459,1.0,0.13333333333333333,0.004025377763965691,0.001180728226875808,0.003,0.002,0.003,1.0,0.0
G-做多,negative,False,10,30,0.002,30-50%,★☆☆观望,距HedgeWall,near,14,0.0030882936427199083,-0.00048441622530701284,6.375289433715009,0.7142857142857143,0.21428571428571427,0.0030882936427199083,0.0016443335849696942,0.003,0.0025,0.0017305151701296419,0.42857142857142855,0.14285714285714285
G-做多,negative,False,15,30,0.002,30-50%,★☆☆观望,距HedgeWall,near,31,0.00272811762886477,-0.00043863285224401467,6.219592570205157,0.6774193548387096,0.22580645161290322,0.00272811762886477,0.001478033460257139,0.0025,0.002,0.0011832564856074982,0.6129032258064516,0.22580645161290322
G-做多,negative,False,30,30,0.002,<30%,★☆☆观望,距Support,near,23,0.002046381625217191,-0.0003309962079019691,6.182492658113069,0.5217391304347826,0.0,0.002046381625217191,0.0005321860781548446,0.0025,0.002,0.0014902895715327939,0.30434782608695654,0.0
G-做多,negative,False,30,30,0.002,<30%,★☆☆观望,距Support,far,17,0.0035789668271292187,-0.0005818656386539043,6.15084753141438,0.5882352941176471,0.0,0.0035789668271292187,0.000895527815912189,0.003,0.002,0.0019060126624487503,0.5882352941176471,0.0
G-做空,negative,True,15,30,0.0015,>100%,★★★推荐,距HedgeWall,near,18,0.006395868607724214,-0.0010411343179901175,6.143173361215554,0.8888888888888888,0.05555555555555555,0.006395868607724214,0.0016624453357293588,0.003,0.002,0.0025764088984869117,0.7777777777777778,0.0
G-做空,negative,True,10,30,0.002,>100%,★★★推荐,距HedgeWall,near,10,0.006395868607724214,-0.0010411343179901175,6.143173361215554,1.0,0.1,0.006395868607724214,0.001614524532542959,0.003,0.002,0.003,1.0,0.0
G-做多,negative,False,15,15,0.0015,70-100%,★★★推荐,距HedgeWall,near,15,0.001479492136161396,-0.00024629247231091835,6.007053818087029,0.3333333333333333,0.13333333333333333,0.001479492136161396,0.001341193962133386,0.002,0.002,0.00024679758745757417,0.3333333333333333,0.13333333333333333
G+做多,positive,False,15,30,0.002,>100%,★★★推荐,距Support,near,23,0.0037320335795620746,-0.000627115415610581,5.951111209614324,0.9130434782608695,0.08695652173913043,0.0037320335795620746,0.0010251201684561484,0.003,0.002,0.0027528266548952863,0.8260869565217391,0.0
G-做空,negative,True,10,30,0.0015,>100%,★★★推荐,距HedgeWall,near,13,0.006185123433550342,-0.0010540930432870839,5.867720570721777,0.9230769230769231,0.07692307692307693,0.006185123433550342,0.0017561884736691524,0.003,0.002,0.002723991738798455,0.8461538461538461,0.0
G+做多,positive,False,10,30,0.0015,70-100%,★★★推荐,距HedgeWall,medium,13,0.0025033504807719965,-0.00042752311845905335,5.8554739444149115,0.6923076923076923,0.0,0.0025033504807719965,0.001129507055029855,0.0025,0.002,0.0011777070791256462,0.38461538461538464,0.0
G+做多,positive,False,10,15,0.001,70-100%,★★★推荐,距HedgeWall,medium,29,0.0013993301950865945,-0.00023943807970651577,5.8442257672705304,0.20689655172413793,0.034482758620689655,0.0013993301950865945,0.00042752311845905335,0.003,0.003,0.0010505678532212776,0.10344827586206896,0.0
G-做多,negative,False,10,30,0.0005,<30%,★☆☆观望,距Support,near,44,0.0021138336716963334,-0.00036253709596131346,5.830668627416549,0.5227272727272727,0.18181818181818182,0.0021138336716963334,0.0013727993922665698,0.003,0.002,0.0010176221393380358,0.25,0.1590909090909091
G-做多,negative,False,10,15,0.0005,<30%,★☆☆观望,距Support,near,44,0.0017180151149744478,-0.0002989775776317918,5.746300871733876,0.4318181818181818,0.18181818181818182,0.0017180151149744478,0.0012732962294761657,0.003,0.002,0.000895208221903175,0.09090909090909091,0.1590909090909091
G-做空,negative,True,15,15,0.002,>100%,★★★推荐,距HedgeWall,near,16,0.00488440973862697,-0.0008508564319844715,5.740580378801335,0.9375,0.0625,0.00488440973862697,0.0015871776748683877,0.003,0.002,0.0027085990770948564,0.6875,0.0
G-做多,negative,False,30,30,0.0015,<30%,★☆☆观望,距Support,far,20,0.003559628283554415,-0.0006246876057764777,5.698253416009188,0.6,0.05,0.003559628283554415,0.0009034756352409848,0.003,0.002,0.0017155110523203664,0.55,0.05
G+做多,positive,False,15,30,0.002,>100%,★★★推荐,距HedgeWall,near,11,0.0035341177160104747,-0.000627115415610581,5.635514018690701,0.8181818181818182,0.0,0.0035341177160104747,0.0008623671808288792,0.003,0.002,0.0024831830056901445,0.6363636363636364,0.0
G+做多,positive,False,15,15,0.0015,70-100%,★★★推荐,距HedgeWall,medium,21,0.0013993301950865945,-0.0002486885337032542,5.626838416106208,0.2857142857142857,0.0,0.0013993301950865945,0.0007184107758689851,0.003,0.002,0.0012076156271520176,0.09523809523809523,0.0
G+做多,positive,False,10,30,0.0015,>100%,★★★推荐,距HedgeWall,far,11,0.004277702312728513,-0.0007691310421579582,5.561734058641715,1.0,0.18181818181818182,0.004277702312728513,0.0014517889009870505,0.003,0.002,0.0027630042075803118,0.9090909090909091,0.0
G+做多,positive,False,30,30,0.0015,>100%,★★★推荐,距Support,near,48,0.0028048340997848466,-0.0005079572466018702,5.52179168335251,0.5625,0.08333333333333333,0.0028048340997848466,0.001399978716127908,0.003,0.002,0.0014987122679701746,0.4375,0.041666666666666664
G-做多,negative,False,30,15,0.0005,<30%,★☆☆观望,距Support,near,32,0.0016727518757272313,-0.000307829089329033,5.434027951592504,0.34375,0.125,0.0016727518757272313,0.0006719985166485537,0.002,0.002,0.0009570061618022809,0.34375,0.125
G-做多,negative,False,15,30,0.002,50-70%,★★☆可选,距Support,medium,13,0.001686633577370555,-0.0003132743704448024,5.383886255922531,0.38461538461538464,0.07692307692307693,0.001686633577370555,0.0011969209320261199,0.0025,0.002,0.0007686895156417738,0.23076923076923078,0.07692307692307693
G-做多,negative,False,30,30,0.0015,<30%,★☆☆观望,距Support,near,25,0.002046381625217191,-0.00038610556633042367,5.3000572995260224,0.52,0.0,0.002046381625217191,0.0005696998271256357,0.0025,0.002,0.0014259518293240877,0.28,0.0
