signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G-做空,negative,True,10,30,0.001,50-70%,距HedgeWall,far,46,0.002473743984518385,-0.0026671965074008064,0.92746971498139,0.5434782608695652,0.5652173913043478,0.002473743984518385,0.005264089385075034,0.0025,0.002,0.0004254299409652857,0.43478260869565216,0.43478260869565216
G-做空,negative,True,10,30,0.001,70-100%,距Support,near,156,0.001509274741542385,-0.0013183350248093186,1.144833986156655,0.4358974358974359,0.391025641025641,0.001509274741542385,0.0031729584765844447,0.003,0.002,0.00026703929698538415,0.23717948717948717,0.3717948717948718
G-做空,negative,True,10,30,0.001,70-100%,距Support,far,28,0.0016043897922829922,-0.002147910683493551,0.7469536813669884,0.4642857142857143,0.5357142857142857,0.0016043897922829922,0.004434063500139713,0.001,0.002,0.0003571428571428572,0.7857142857142857,0.21428571428571427
G-做空,negative,True,10,30,0.001,70-100%,距HedgeWall,near,38,0.0011697415480026961,-0.000902432805122698,1.2962090267137993,0.2894736842105263,0.23684210526315788,0.0011697415480026961,0.001838862255295065,0.003,0.002,0.00047765290760524797,0.2631578947368421,0.18421052631578946
G-做空,negative,True,10,30,0.001,70-100%,距HedgeWall,medium,42,0.001602041761935943,-0.0005831798426756473,2.7470801366962982,0.40476190476190477,0.3333333333333333,0.001602041761935943,0.0023310736206944367,0.003,0.002,0.0006547129684850552,0.3333333333333333,0.3333333333333333
G-做空,negative,True,10,30,0.001,70-100%,距HedgeWall,far,105,0.0020721936955790487,-0.002108221000973141,0.9829110395079728,0.5142857142857142,0.5047619047619047,0.0020721936955790487,0.00430304216131932,0.002,0.002,6.696658533126844e-05,0.4380952380952381,0.42857142857142855
G-做空,negative,True,10,30,0.001,>100%,距Support,near,101,0.0012894253719009279,-0.002116925129032728,0.6091029645862327,0.37623762376237624,0.5148514851485149,0.0012894253719009279,0.0033696919846359784,0.003,0.002,-0.00024760232782387485,0.22772277227722773,0.46534653465346537
G-做空,negative,True,10,30,0.001,>100%,距Support,medium,228,0.0016450147192244196,-0.0013154619263515779,1.2505224866422804,0.42543859649122806,0.37719298245614036,0.0016450147192244196,0.0029209960530386394,0.003,0.002,0.0003191468088838315,0.2631578947368421,0.34210526315789475
G-做空,negative,True,10,30,0.001,>100%,距Support,far,270,0.0023714715251231654,-0.0015103404236696818,1.5701569579665948,0.5740740740740741,0.3851851851851852,0.0023714715251231654,0.0028477254739180647,0.003,0.002,0.0007346308645517736,0.31851851851851853,0.31851851851851853
G-做空,negative,True,10,30,0.001,>100%,距HedgeWall,near,23,0.005281907323663212,-0.0011895327091643786,4.440321214347809,0.7391304347826086,0.17391304347826086,0.005281907323663212,0.0018362362031539763,0.003,0.002,0.0018697468541834775,0.6086956521739131,0.13043478260869565
G-做空,negative,True,10,30,0.001,>100%,距HedgeWall,medium,127,0.002277401093923472,-0.001055024024404213,2.1586248665849603,0.5590551181102362,0.31496062992125984,0.002277401093923472,0.0023807192518893513,0.003,0.002,0.0008278777636392461,0.3464566929133858,0.2755905511811024
G-做空,negative,True,10,30,0.001,>100%,距HedgeWall,far,449,0.0017930529412121285,-0.0016368423849192272,1.0954340856102707,0.44988864142538976,0.44097995545657015,0.0017930529412121285,0.003279652784585621,0.003,0.002,0.0002181811071623092,0.24721603563474387,0.38530066815144765
G-做空,negative,True,10,30,0.002,<30%,距Support,near,27,0.001600215175298244,-0.0030402577268180183,0.5263419483101041,0.2962962962962963,0.7037037037037037,0.001600215175298244,0.0032788028784543365,0.001,0.0035,0.0003056445768580087,0.7407407407407407,0.037037037037037035
G-做空,negative,True,10,30,0.002,<30%,距Support,medium,37,0.0015244086501890212,-0.002779781541164018,0.5483915291957381,0.3783783783783784,0.7027027027027027,0.0015244086501890212,0.003821154284386194,0.001,0.0035,-0.00015446086046755721,0.5675675675675675,0.21621621621621623
G-做空,negative,True,10,30,0.002,<30%,距HedgeWall,medium,23,0.0015904861112160304,-0.0030402577268180183,0.5231418695811221,0.2608695652173913,0.782608695652174,0.0015904861112160304,0.00885034186018873,0.001,0.003,-0.00010993398474216668,0.6521739130434783,0.2608695652173913
G-做空,negative,True,10,30,0.002,<30%,距HedgeWall,far,131,0.0018067325355486895,-0.0024302620456466816,0.7434311615840283,0.48091603053435117,0.6030534351145038,0.0018067325355486895,0.0033919457241411042,0.003,0.004,0.00023818865256470693,0.2748091603053435,0.061068702290076333
G-做空,negative,True,10,30,0.002,30-50%,距Support,near,12,0.0002898956249050297,-0.004754259692570324,0.06097597599854746,0.25,1.0,0.0002898956249050297,0.007328824679046735,0.002,0.002,-0.001,0.25,0.75
G-做空,negative,True,10,30,0.002,30-50%,距Support,medium,28,0.0017079245014909026,-0.0019077459091544433,0.8952578502699523,0.32142857142857145,0.4642857142857143,0.0017079245014909026,0.005137114499599996,0.001,0.002,4.5334095727305575e-05,0.6428571428571429,0.2857142857142857
G-做空,negative,True,10,30,0.002,30-50%,距HedgeWall,near,11,0.0018404586159091378,-0.001665854361475439,1.104813637057115,0.2727272727272727,0.36363636363636365,0.0018404586159091378,0.0024749591063682242,0.0015,0.0025,0.0007349012858550018,0.7272727272727273,0.18181818181818182
G-做空,negative,True,10,30,0.002,30-50%,距HedgeWall,medium,9,0.0024237825761647875,-0.0018938493007325335,1.2798180801541486,0.5555555555555556,0.4444444444444444,,,,,,,
G-做空,negative,True,10,30,0.002,30-50%,距HedgeWall,far,20,0.0005402249643171471,-0.0045766813539145565,0.11803857916721217,0.2,0.85,0.0005402249643171471,0.006517998553719118,0.001,0.002,-0.001202586875438531,0.25,0.7
G-做空,negative,True,10,30,0.002,50-70%,距Support,near,20,0.0020386580292438257,-0.0011484187861607294,1.7751869386073427,0.5,0.3,0.0020386580292438257,0.0021957979721352744,0.0015,0.0035,0.0007086926937320004,0.7,0.05
G-做空,negative,True,10,30,0.002,50-70%,距Support,medium,5,0.0024919230693992147,-0.00041561649284980394,5.995727100030531,1.0,0.0,,,,,,,
G-做空,negative,True,10,30,0.002,50-70%,距HedgeWall,near,7,0.0017247336939684853,-0.001232733113281013,1.3991136243415863,0.2857142857142857,0.14285714285714285,,,,,,,
